pair_id,cosine_sim,sim_bucket,ensemble_majority,ensemble_confidence,verdict_sonnet,verdict_openai,verdict_gemini,shared_clients,item_a_title,item_a_lede,item_a_published_at,item_b_title,item_b_lede,item_b_published_at,human_label
p0284,0.6397451758384705,"[0.60, 0.65)",DIFFERENT,2_of_3,DIFFERENT,SAME,DIFFERENT,['ExxonMobil'],Rosneft to Buy TNK-BP for $55 Bln in 3rd-Biggest Oil Deal,"OAO Rosneft (ROSN) agreed to buy TNK-BP, a
50-50 venture between BP Plc (BP/) and a group of billionaires, for
$54.8 billion in the third-biggest oil acquisition ever. After the deal, state-run Rosneft will match the output of
 Exxon Mobil Corp. (XOM) , the world’s largest publicly traded oil
producer, and control more than 40 percent of Russia’s crude
output. President Vladimir Putin, who’s sought to reassert
government control over the oil and gas industry, said today’s
accord was important for the Russian economy. “This deal is in line with the Russian government’s
strategy of reversing the",2012-10-22 16:50:56,"Cleary, Linklaters, Wachtell, Fasken: Business of Law","Cleary Gottlieb Steen & Hamilton LLP 
advised OAO Rosneft (ROSN) , which agreed to buy TNK-BP, a 50-50 venture
between BP Plc (BP/) and a group of billionaires, for $54.8 billion in
the third-biggest oil acquisition ever. Linklaters LLP are
principal legal advisers for BP. The core Cleary Gottlieb team includes partners Russell Pollack and Daniel Braverman on corporate aspects. Partner
Antoine Winckler is advising on antitrust matters, and partner
Murat Akuyev on Russian law matters. Linklaters’s team advising BP was led by partners Stephen
Griffin and Jeremy Parr, corporate; and Michael Benne",2012-10-23 11:11:54,
p0285,0.6316851377487183,"[0.60, 0.65)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Morgan Stanley'],Tyco to Present at the Morgan Stanley Industrials & Autos Conference,,2013-08-26 00:00:00,Incyte to Present at the Morgan Stanley Global Healthcare Conference,,2013-08-28 00:00:00,
p0286,0.6043111681938171,"[0.60, 0.65)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['JPMorgan'],REG - AIM - Nomad Name Change - J.P. Morgan Securities Ltd,,2012-07-10 00:00:00,REG - JPMorgan Overseas - Ten Largest Investments,,2012-07-10 00:00:00,
p0287,0.6070956587791443,"[0.60, 0.65)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['ExxonMobil'],CORRECTED-(OFFICIAL)-Exxon eyes Interoil assets for PNG LNG expansion,,2013-05-27 00:00:00,UPDATE 1-ExxonMobil completes Singapore chemical plant expansion,,2013-05-30 00:00:00,
p0288,0.610486626625061,"[0.60, 0.65)",DIFFERENT,2_of_3,DIFFERENT,SAME,DIFFERENT,"['Facebook', 'Morgan Stanley']",Facebook Banker Morgan Stanley Props Up Price It Helped Boost,"Morgan Stanley (MS) 's reputation as lead
underwriter may suffer from the stock market debut of Facebook 
Inc., whose initial public offering left investors in the 
largest social network disappointed. The bank stepped in to prop up the stock from dipping below
its $38 IPO price yesterday, said people with knowledge of the
matter, who asked not to be identified because the purchases
were private. Morgan Stanley, based in New York , was the only
underwriter among Facebook’s 33 banks with the responsibility to
support the shares , the people said. Underwriters “are acting like the cavalry to kee",2012-05-19 04:01:00,Exclusive: Regulators may review Morgan Stanley-Facebook allegations,,2012-05-22 00:00:00,
p0289,0.6117848753929138,"[0.60, 0.65)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Morgan Stanley'],Fitch Affirms Morgan Stanley Re-Remic Trust 2011-IO,,2012-06-19 00:00:00,REG-Morgan Stanley Morgan Stanley Statement on Moodyâs Two-Notch Downgrade,,2012-06-22 00:00:00,
p0290,0.6241044998168945,"[0.60, 0.65)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Verizon'],Verizon Wireless' 4G LTE Network Now Reaches Thousands Of San Francisco College Students,,2012-10-05 00:00:00,"Verizon Wireless ""4G LTE Update: The Road Ahead"" At MobileCONâ¢ 2012 In San Diego",,2012-10-08 00:00:00,
p0291,0.6089432835578918,"[0.60, 0.65)",SAME,3_of_3,SAME,SAME,SAME,['AT&T'],AT&T; subscriber growth beats but profit margin misses,,2013-01-24 00:00:00,Strong Growth in Wireless and U-verse Drives Revenue and Adjusted Earnings Per Share Growth in AT&T;`s Fourth-Quarter Results,,2013-01-24 00:00:00,
p0292,0.6373598575592041,"[0.60, 0.65)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Bank of America'],Sonic to Attend Bank of America Merrill Lynch 2013 Consumer & Retail Conference,,2013-03-06 00:00:00,"Eaton to Participate in the Bank of America Merrill Lynch Global Industrials & EU Autos Conference March 19, 2013",,2013-03-08 00:00:00,
p0293,0.6129086017608643,"[0.60, 0.65)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Facebook'],Nasdaq alters IPO procedures after Facebook glitch,,2012-05-21 00:00:00,REFILE-Facebook exec ducks questions about IPO debacle,,2012-05-24 00:00:00,
p0294,0.6290630102157593,"[0.60, 0.65)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['JPMorgan'],REG - JPMorgan Indian Inv - Interim Management Statement,,2012-02-14 00:00:00,REG - JPMorgan Euro IT PLCJPMorgan Euro IT Inc - Transaction in Own Shares,,2012-02-17 00:00:00,
p0295,0.6145211458206177,"[0.60, 0.65)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['JPMorgan'],REG - JPMorgan Jap Smllr - Conversion of Securities,,2012-04-02 00:00:00,REG - JPMorgan Chase & Co - 2012 Proxy Statement,,2012-04-05 00:00:00,
p0296,0.6058377027511597,"[0.60, 0.65)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Walmart'],Asian Stocks Advance on Optimism Region Weathering Europe Crisis,"Asian stocks (MXAPJ) rose, with a regional
gauge heading for a three-week high, as manufacturing growth
from Australia, China and India added to optimism the region’s
economies will withstand Europe’s sovereign-debt crisis. BHP Billiton Ltd. (BHP) , which gets about 28 percent of sales
from China, gained 1.1 percent in Sydney. Industrial &
Commercial Bank of China (601398) Ltd., the world’s No. 1 lender by
market value, advanced 3 percent as trading in Hong Kong 
resumed. Li & Fung Ltd. (494) , a supplier of toys and clothes to
retailers including Wal-Mart Stores Inc., climbed 6 percent on
spe",2012-01-03 11:02:16,Hong Kong Stocks Decline as Wen Warns of ‘Difficult’ Conditions for China,"Hong Kong stocks (HSI) fell as Premier Wen
Jiabao said China faces “relatively difficult” business
conditions, tempering gains by exporters on better-than-
estimated economic data from the U.S. and Germany . Swire Pacific Ltd. (19) , the Hong Kong developer, retailer and
airline operator, led declines, dropping 14 percent as it spins
off its property unit. Agile Property Holdings Ltd., a developer
of properties in mainland China, fell 6.5 percent. Li & Fung
Ltd., the biggest supplier to Wal-Mart Stores Inc., climbed 0.7
percent as U.S. manufacturing increased and German unemployment
unexpected",2012-01-04 08:49:46,
p0297,0.6112426519393921,"[0.60, 0.65)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['JPMorgan'],"JPMorgan $2 billion loss hits shares, credit, image",,2012-05-12 00:00:00,"UPDATE 9-FBI launches JPMorgan probe, shareholders back Dimon",,2012-05-15 00:00:00,
p0298,0.6128894090652466,"[0.60, 0.65)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Bank of America'],Informatica to Present at Bank of America Merrill Lynch Technology Conference,,2012-05-07 00:00:00,Spectrum Pharmaceuticals to Present at the Bank of America Merrill Lynch 2012 Health Care Conference,,2012-05-08 00:00:00,
p0299,0.6045596599578857,"[0.60, 0.65)",SAME,3_of_3,SAME,SAME,SAME,['Bank of America'],"BofA Merrill Lynch Fund Manager Survey Finds Investors Moderating Earlier Exuberance, Though Still Positive",,2013-04-16 00:00:00,Investors Most Bullish on Japan Stocks Since 2006,"Investors are the most bullish on
Japanese stocks for more than six years, while they are selling
euro-area equities amid renewed concern about the region’s debt
crisis, a Bank of America Corp. (BAC) survey showed. A net 20 percent of global money managers, who together
oversee about $578 billion, said they were overweight Japan this
month, the highest proportion since 2006 as Prime Minister
Shinzo Abe increased stimulus in the world’s third-biggest
economy. A net 8 percent said they held less euro-region
equities than benchmark indexes for the first time in eight
months. Managers’ allocations",2013-04-16 12:30:00,
p0300,0.6804603338241577,"[0.65, 0.70)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['JPMorgan'],REG - AIM - Nomad Name Change - J.P. Morgan Securities Ltd,,2012-07-10 00:00:00,"REG - JPMorgan Chase & CoJPMorgan ChaseBankJPMorgan Bnk Dublin - Form 8-K's dated July 13, 2012",,2012-07-13 00:00:00,
p0301,0.6808193325996399,"[0.65, 0.70)",SAME,3_of_3,SAME,SAME,SAME,['IBM'],"IBM misses estimates, but sees potential in new âgrowth initiativesâ",,2013-04-18 00:00:00,IBM Profit Misses Estimates for First Time Since 2005,"International Business Machines
Corp. (IBM) , the largest computer-services provider, fell the most in
eight years after missing profit estimates, hurt by a hardware
slump and the failure to sign customers to contracts. The shares dropped 8.3 percent to $190 at the close in New
York , the biggest one-day decline since April 15, 2005. The
tumble wiped out the stock’s gains for the year, a month after
it hit a record high. The Armonk, New York-based company posted first-quarter
profit of $3 a share yesterday, missing the $3.05 predicted by
analysts. It was the first earnings shortfall since 2005",2013-04-19 20:11:36,
p0302,0.6808269023895264,"[0.65, 0.70)",DIFFERENT,2_of_3,UNCLEAR,DIFFERENT,DIFFERENT,['JPMorgan'],Exclusive: JPMorgan faces action on laundering controls,,2013-01-11 00:00:00,UPDATE 1-JPMorgan ordered to improve controls after 'Whale' loss,,2013-01-14 00:00:00,
p0303,0.6753594875335693,"[0.65, 0.70)",SAME,2_of_3,SAME,SAME,DIFFERENT,['JPMorgan'],JPMorgan mortgage deal with U.S. government likely for Tuesday -source,,2013-11-18 00:00:00,JPMorgan agrees $13 billion settlement with U.S. over bad mortgages,,2013-11-19 00:00:00,
p0304,0.6597514152526855,"[0.65, 0.70)",DIFFERENT,2_of_3,DIFFERENT,SAME,DIFFERENT,['AT&T'],SBA Communications Corporation Releases Information Regarding Contemplated Combination of AT&T; and Leap Wireless,,2013-07-15 00:00:00,SHAREHOLDER ALERT: Levi & Korsinsky Announces Investigation into Possible Breaches of Fiduciary Duty by the Board of Leap Wireless International Inc. in Connection with the Sale of the Company To AT&T; Inc.,,2013-07-16 00:00:00,
p0305,0.680673360824585,"[0.65, 0.70)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Goldman Sachs'],"Actavis, Inc. to Present at the Goldman Sachs 34th Annual Global Healthcare Conference 2013",,2013-06-04 00:00:00,Infinity to Present at the Goldman Sachs 34th Annual Global Healthcare Conference,,2013-06-05 00:00:00,
p0306,0.6779316663742065,"[0.65, 0.70)",SAME,3_of_3,SAME,SAME,SAME,['Amazon'],BRIEF-Amazon.com unveils new kindle fire for $159,,2012-09-06 00:00:00,Amazon Challenges Apple With Updated Line of Kindles,"Amazon.com Inc. (AMZN) unveiled a new line of bigger, faster and sleeker Kindle e-readers and tablets, presenting a fresh challenge to Apple Inc. (AAPL) ’s dominance of the market with the iPad. The Seattle-based Web retailer introduced devices yesterday ranging in price from a $69 ad-supported e-reader to the $599 top-of-the-line Kindle Fire HD, backed by 22 million movies, TV shows, songs, apps, games, books and magazines. Chief Executive Officer Jeff Bezos is retooling the tablets as consumers face a widening array of choices, including new entries from Google Inc. (GOOG) and Microsoft Corp",2012-09-07 20:11:50,
p0307,0.6574549674987793,"[0.65, 0.70)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Morgan Stanley'],"Blue Nile to Present at Morgan Stanley Technology, Media & Telecom Conference",,2013-02-19 00:00:00,"Liberty Global to Present at the Morgan Stanley Technology, Media & Telecom Conference",,2013-02-22 00:00:00,
p0308,0.6720154285430908,"[0.65, 0.70)",DIFFERENT,2_of_3,DIFFERENT,SAME,DIFFERENT,"['Apple', 'Google']","Apple, J&J, Tesla, Intel, Sirius: Intellectual Property","Apple Inc. won an appeals court
ruling that lets it argue anew that Google Inc. (GOOG) ’s Motorola
Mobility infringed its patents for touchscreen technology. The appeals court ordered the U.S. International Trade
Commission in Washington to consider whether Motorola Mobility
infringed one patent, and review whether an aspect of a second
patent was valid. The U.S. Court of Appeals for the Federal
Circuit, which posted the opinion on its website yesterday,
upheld invalidity findings on other aspects of that patent. The case focused on what an Apple lawyer told the court was
a key invention that ",2013-08-08 04:01:01,Apple’s Legal Wins Show No Clear Victor in Patent War,"Apple Inc. (AAPL) scored three legal victories in a week that still leaves unclear whether the iPhone maker will be the victor in global patent battles over technology that’s transformed everyday lives. A U.S. trade agency on Aug. 9 issued an import ban that prevents Apple’s chief competitor, Samsung Electronics Co. (005930) , from selling devices in the U.S. that infringe two Apple patents. A week earlier, President Barack Obama ’s administration overturned a similar ban won by Samsung against some of Apple’s older iPhone 4s. In between, a U.S. appeals court revived Apple’s patent case agains",2013-08-11 04:00:01,
p0309,0.6722403764724731,"[0.65, 0.70)",DIFFERENT,2_of_3,SAME,DIFFERENT,DIFFERENT,['Apple'],Apple earnings the bright spot in tech sector: StarMine,,2012-01-23 00:00:00,Apple earnings wow Wall Street,,2012-01-24 00:00:00,
p0310,0.6781007051467896,"[0.65, 0.70)",,routed_to_human,UNCLEAR,UNCLEAR,DIFFERENT,['Boeing'],Boeing says it is confident in 787 after incidents,,2013-01-09 00:00:00,Boeing Statement on FAA Joint Review on 787,,2013-01-11 00:00:00,
p0311,0.6949938535690308,"[0.65, 0.70)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Morgan Stanley'],St. Jude Medical to Present at the Morgan Stanley Global Healthcare Conference,,2012-09-04 00:00:00,Neurocrine Biosciences To Present At The Morgan Stanley Global Healthcare Conference,,2012-09-05 00:00:00,
p0312,0.667675793170929,"[0.65, 0.70)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,"['Google', 'Microsoft']","The Zacks Analyst Blog Highlights: Yahoo, Walt Disney, Google, Microsoft and Facebook",,2012-12-11 00:00:00,"Zacks Bull and Bear of the Day Highlights: Monster Worldwide, France Telecom, Google, Yahoo and Microsoft",,2012-12-11 00:00:00,
p0313,0.6773713827133179,"[0.65, 0.70)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,"['Bank of America', 'Wells Fargo']",Fed Releases U.S. Banks’ Plans for Improving Faulty Foreclosure Practices,"The Federal Reserve released
documents showing how U.S. mortgage servicers pledged to
overhaul faulty foreclosure practices that led to this month’s
$25 billion settlement with state and federal authorities. Bank of America Corp. (BAC) , Wells Fargo & Co. (WFC) and JPMorgan Chase
& Co. (JPM) were among lenders that submitted the so-called action
plans following a Fed enforcement action last year. The
documents describe how firms will strengthen communications with
borrowers, limit certain foreclosures and bolster compliance
programs, the Fed said today in a statement. It also released
“engagem",2012-02-27 20:00:00,Banks Win Reprieve on Home Equity Loans in Settlement,"Bank of America Corp. (BAC) , Wells Fargo &
Co. (WFC) and three other banks that settled a nationwide probe of
 foreclosure practices this month will get a bonus from the deal:
protection for $308 billion of home-equity loans they hold. The banks that service about half the nation’s mortgages on
behalf of investors will be able to share losses on their junior
loans with bondholders and get credit toward the cash they
pledged to spend in the settlement, said an Obama administration
official involved in drafting the $25 billion agreement. Second
liens would typically be wiped out before senior-m",2012-02-27 21:35:53,
p0314,0.6645035147666931,"[0.65, 0.70)",DIFFERENT,2_of_3,DIFFERENT,SAME,DIFFERENT,"['AT&T', 'Verizon']",Deutsche Telekom to Combine T-Mobile USA with MetroPCS,"Deutsche Telekom AG (DTE) agreed to combine its T-Mobile USA unit with MetroPCS Communications Inc. (PCS) , doubling down on the U.S. wireless industry after a failed effort to sell the business to AT&T Inc. (T) last year. Germany ’s largest phone company will own 74 percent of the new business in a deal that pays MetroPCS shareholders $1.5 billion in cash, the companies said today. The combined entity will keep the T-Mobile name and be run by John Legere, the former chief executive officer of Global Crossing Ltd. who took charge of T-Mobile USA last month. The deal is the latest attempt by De",2012-10-03 20:32:53,Banks May Split $50 Million Advising on T-Mobile-MetroPCS Merger,"Banks advising on Deutsche Telekom
AG (DTE) ’s merger of its T-Mobile USA Inc. unit with MetroPCS
Communications Inc. (PCS) may earn at least $50 million if the deal
goes through, according to research firm Freeman & Co. First in line are Morgan Stanley and JPMorgan Chase & Co.,
lead advisers to Deutsche Telekom and MetroPCS, respectively.
The amount they’ll split with other banks, which may range from
$50 million to $80 million, is at least 36 percent less than the
$125 million advisers would have gotten if AT&T Inc. (T) ’s $39
billion bid for T-Mobile last year had succeeded, according to
Ne",2012-10-03 22:01:00,
p0315,0.6734631061553955,"[0.65, 0.70)",DIFFERENT,2_of_3,SAME,DIFFERENT,DIFFERENT,['AT&T'],SBA Communications Corporation Releases Information Regarding Contemplated Combination of AT&T; and Leap Wireless,,2013-07-15 00:00:00,"Attention LEAP Shareholders: The Proposed Buyout of Leap Wireless International, Inc. by AT&T; Inc. Under Investigation By The Young Law Firm",,2013-07-17 00:00:00,
p0316,0.6529052257537842,"[0.65, 0.70)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Apple'],S&P 500 Posts Biggest Weekly Drop Since June on Economy,"U.S. stocks fell for the week, as
the Standard & Poor’s 500 Index posted its biggest drop since
June, on concern Europe’s debt crisis is worsening and stimulus
measures may not be enough to boost economic growth. The S&P Supercomposite Homebuilding Index (S15HOME) slid 7.3 percent
for the first drop in five weeks amid worse-than-expected
housing data. Technology stocks and commodity producers led
declines as investors sold shares of companies most tied to
economic swings. Apple (AAPL) Inc. posted its biggest drop since May
after the release of its iPhone 5. Caterpillar Inc. (CAT) slid 6.2
perc",2012-09-29 04:00:01,U.S. Stocks Pare Gains as Apple Leads Slump in Technology Shares,"U.S. stocks pared gains as Apple Inc. (AAPL) 
led a retreat in technology shares that wiped out most of an
early rally triggered by unexpected growth in American
manufacturing. Apple slid 1.2 percent, extending last week’s 4.7 percent
tumble. Technology shares in the Standard & Poor’s 500 Index
lost 0.4 percent and were the biggest drag on the index among
its 10 main groups. The S&P 500 was up less than 0.1 percent at 1,441.39 at
3:27 p.m. in New York after surging as much as 1.1 percent. To contact the editor responsible for this story:
Michael P. Regan at 
 mregan12@bloomberg.net",2012-10-01 19:28:17,
p0317,0.6817863583564758,"[0.65, 0.70)",SAME,3_of_3,SAME,SAME,SAME,['ExxonMobil'],"ExxonMobil Canada Acquires Celtic Exploration Ltd., Including Liquids-Rich Montney Shale Acreage",,2012-10-17 00:00:00,COLUMN-Exxon's Celtic buy signals shift for Canada oil-Campbell,,2012-10-18 00:00:00,
p0318,0.6890155673027039,"[0.65, 0.70)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Morgan Stanley'],"Blue Nile to Present at Morgan Stanley Technology, Media & Telecom Conference",,2013-02-19 00:00:00,"Cincinnati Bell to Present at Morgan Stanley Technology, Media & Telecom Conference",,2013-02-22 00:00:00,
p0319,0.661874532699585,"[0.65, 0.70)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Wells Fargo'],"Quality Systems, Inc. to Present at the Wells Fargo Securities 2013 Healthcare Conference",,2013-06-12 00:00:00,HeartWare Presentation at the Wells Fargo Securities 2013 Healthcare Conference to be Webcast,,2013-06-13 00:00:00,
p0320,0.6759018898010254,"[0.65, 0.70)",SAME,3_of_3,SAME,SAME,SAME,['Google'],Google could emerge unscathed from federal web search probe - WSJ,,2012-12-16 00:00:00,"Google-FTC Probe, CFTC-Audio Rule, JPMorgan: Compliance","Google Inc. (GOOG) is poised to make
voluntary concessions that will end a 20-month U.S. antitrust
probe of its business practices without any enforcement action,
two people familiar with the matter said. Google, which has been under investigation by the Federal
Trade Commission, is preparing a letter promising not to copy
content from rival websites without permission and to allow
advertisers to compare Google’s ad-campaign data with
performance on other Internet search engines, one of the people
said Dec. 16. That will close the investigation without a
lawsuit or settlement, said the people,",2012-12-18 13:28:01,
p0321,0.6995932459831238,"[0.65, 0.70)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['JPMorgan'],Commercial Vehicle Group To Present At J.P. Morgan Diversified Industries Conference,,2013-05-29 00:00:00,TriMas Corporation to Present at the J.P. Morgan 8th Annual Diversified Industries Conference,,2013-05-30 00:00:00,
p0322,0.6541450023651123,"[0.65, 0.70)",SAME,2_of_3,SAME,SAME,DIFFERENT,['JPMorgan'],The One Thing Jamie Dimon Got Right This Week,"About two-thirds the way through
 JPMorgan Chase & Co. (JPM) Chief Executive Officer Jamie Dimon’s
stunning May 10 conference call, in which he announced that the
hedging strategy originating in the firm’s vaunted “chief
investment office” had cost the firm $2 billion, he seemed to
hit his stride. “It is very unfortunate,” he said, “this plays right into
the hands of pundits out there. But we have to deal with it.” Well, Jamie, as a former JPMorgan Chase managing director
turned Wall Street pundit, here you go: The problem with the
unexpected loss and its hasty announcement was not so much the",2012-05-11 15:19:32,SunTrust’s Rogers Says JPMorgan Loss ‘Black Eye’,"JPMorgan Chase & Co. (JPM) ’s $2 billion
loss on synthetic credit securities bolsters the case of banking
critics pushing for tighter regulations on proprietary trading,
SunTrust Banks Inc. Chief Executive Officer William Rogers said. “It is a black eye for the industry,” Rogers said in an
interview with Bloomberg Television’s “In the Loop” from
Atlanta. “It would certainly embolden those on the Volcker side
of that equation,” referring to the so-called Volcker rule
setting restrictions on trading. Senator Carl Levin, Democrat from Michigan and co-author of
the rule, said May 11 the JPMorgan l",2012-05-14 12:38:05,
p0323,0.6907798647880554,"[0.65, 0.70)",DIFFERENT,2_of_3,DIFFERENT,SAME,DIFFERENT,['JPMorgan'],Jefferson County JPMorgan Deal Called Safer Than Suing,"Jefferson County, Alabama ’s,
bankruptcy deal with JPMorgan Chase & Co. and other creditors
would lock in more than $1.4 billion in concessions without the
risk of suing the bank, a consultant said in court. Eric Rothstein, a county utility rate consultant, said
yesterday that those savings are a safer proposition than the
$1.6 billion that could be won in a lawsuit that opponents of
the county’s bankruptcy exit plan want to pursue. “That $1.4 billion writedown is a certainty,” Rothstein
said in U.S. Bankruptcy Court in Birmingham, the county seat.
“The $1.6 billion number is speculative, and ",2013-11-21 05:00:01,Jefferson County’s Bankruptcy Left Few Winners,"The impact of Jefferson County’s
bankruptcy will reverberate for decades in Alabama and in the
$3.7 trillion U.S. municipal bond market. Creditors, including JPMorgan Chase & Co. (JPM) , agreed to
forgive $1.4 billion of the county’s $3 billion sewer bonds.
Ratepayers, like Charles Hicks, a retired landscaper who lives
on a fixed income in Birmingham, will see his sewer rate rise
about 8 percent annually for the next four years and 3.5 percent
annually thereafter, under a plan approved by a federal judge on
Nov 21. “There’s a lot of pain going around -- bondholders are
taking large losses, but",2013-11-23 20:11:52,
p0324,0.6632272005081177,"[0.65, 0.70)",SAME,3_of_3,SAME,SAME,SAME,['Facebook'],UPDATE 5-Facebook smashes analyst targets but executive comments spook Street,,2013-10-30 00:00:00,CORRECTED-UPDATE 1-Facebook tops analyst revenue targets as mobile ads surge,,2013-10-30 00:00:00,
p0325,0.6568628549575806,"[0.65, 0.70)",DIFFERENT,2_of_3,UNCLEAR,DIFFERENT,DIFFERENT,['ExxonMobil'],California Refiners Ration Gasoline as Prices Near Record,"Exxon Mobil Corp. (XOM) and Valero Energy
Corp. (VLO) are rationing gasoline deliveries to customers in
California as refinery halts cut into the state’s supplies,
driving pump prices toward record highs. Valero stopped spot sales in Southern California and is
allocating the rest of its deliveries to customers. Exxon is
also rationing to buyers at West Coast terminals. Retail prices
in the state jumped to an average $4.486 a gallon, according to
data published today by AAA, the nation’s biggest motoring
organization. California’s gasoline markets are particularly susceptible
to refinery outage",2012-10-05 20:26:35,California Regular Unleaded Gasoline Rises to Record $4.655,"The average price of regular unleaded
gasoline reached a record $4.655 a gallon in California today,
22 percent more than the national average of $3.814, AAA said on
its website. The highest average price in the state is the San Luis
Osbispo-Atascadero-Paso Robles metropolitan area at $4.74, up
from $4.709 yesterday and an average of $4.233 a week ago, AAA
said. San Francisco was the second-most expensive metro area at
$4.731 per gallon for regular gasoline, up from $4.689 yesterday
and $4.263 a week ago. Both metro areas set all-time records,
the automobile association said. AAA spokeswoman M",2012-10-07 15:55:41,
p0326,0.6586402654647827,"[0.65, 0.70)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Goldman Sachs'],"The Bon-Ton Stores, Inc. Announces Participation in the Goldman Sachs Nineteenth Global Retailing Conference",,2012-08-22 00:00:00,Wolverine Worldwide To Present At The Goldman Sachs 2012 Global Retailing Conference,,2012-08-23 00:00:00,
p0327,0.6612238883972168,"[0.65, 0.70)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Bank of America'],Community Health Systems to Participate in The Bank of America Merrill Lynch 2012 Leveraged Finance Conference,,2012-11-27 00:00:00,Covanta Holding Corporation to Present at Bank of America Merrill Lynch 2012 Leveraged Finance Conference,,2012-11-28 00:00:00,
p0328,0.6913659572601318,"[0.65, 0.70)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Verizon'],Verizon Wireless Enhances 4G LTE Network Coverage On and Around UCONN Campus,,2012-05-29 00:00:00,"Verizon Wireless Enhances 4G LTE Network Coverage in Epsom, New Hampshire",,2012-05-30 00:00:00,
p0329,0.6878129243850708,"[0.65, 0.70)",SAME,2_of_3,SAME,SAME,DIFFERENT,['Apple'],"Apple set to unwrap mini-iPad to take on Amazon, Google",,2012-10-22 00:00:00,Apple's new iPad Mini and the Great Tablet Wars of 2012,,2012-10-23 00:00:00,
p0330,0.6608737707138062,"[0.65, 0.70)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['JPMorgan'],REG - JPMorgan Small Co IT - Total Voting Rights,,2012-08-31 00:00:00,REG-JPMorgan Asset Management Form 8.3 - K3 Business Technology Group Plc,,2012-09-03 00:00:00,
p0331,0.6708811521530151,"[0.65, 0.70)",SAME,3_of_3,SAME,SAME,SAME,['Boeing'],UPDATE 4-Boeing seen in advanced talks to make 777X near Seattle,,2013-11-04 00:00:00,Boeing Seeks Labor Peace in Deal to Keep 777X in Seattle,"Boeing Co. (BA) offered to build its
upgraded 777 twin-aisle jet in the Seattle area if members of
its largest union accept benefit cuts and a contract extension
that would ensure labor peace for the next decade. Ratification of the terms by Machinists union members would
cement a new working relationship between the planemaker and the
labor group after years of labor strife at Boeing’s commercial
hub in Washington ’s Puget Sound region. The proposal “means decades of economic activity for the
region and will anchor the next generation of wide-body aircraft
production right here in its histori",2013-11-06 14:50:31,
p0332,0.676254153251648,"[0.65, 0.70)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Morgan Stanley'],"Internap to Present at the Morgan Stanley Technology, Media & Telecom Conference",,2013-02-15 00:00:00,Comcast to Participate in Morgan Stanley Investor Conference,,2013-02-18 00:00:00,
p0333,0.6844534277915955,"[0.65, 0.70)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Wells Fargo'],Kennametal Management to Meet with Financial Community at Wells Fargo Securities Industrial and Construction Conference,,2013-04-30 00:00:00,Hubbell To Appear At The Wells Fargo 2013 Industrial and Construction Conference,,2013-05-02 00:00:00,
p0334,0.6776198148727417,"[0.65, 0.70)",,routed_to_human,UNCLEAR,DIFFERENT,SAME,['JPMorgan'],CORRECTED-Ex-JPMorgan exec released after arrest in Spain -court source,,2013-08-27 00:00:00,RPT-Tortuous extradition process awaits Spaniard in JPMorgan 'Whale' case,,2013-08-29 00:00:00,
